,Name,Country,Proven victims,Possible victims,Notes,Start year,End year,Nickname
777,"Donaldson, Howell",United,4,4,"Shot and killed four people, seemingly at random, in the Seminole Heights neighborhood of Tampa, Florida",2017,Unknown,
778,"Dorsey, Leon",United,3,3,Murdered store employees around Texas,1994,Unknown,
779,"Doss, Nannie",United,8,11,"Known as ""The Giggling Granny"" and ""The Jolly Black Widow""; serial poisoner who killed four husbands, two children, her two sisters, her mother, a grandson, and a mother-in-law",1927,1954,The Giggling Granny
780,"Dowler, David",United,3,3,"Poisoned three acquaintances in Odessa, Texas",1983,1987,
781,"Duffy, Charles Lee",United,3,3,"Robbed, raped, and murdered women across two Georgia counties",1997,Unknown,
782,"Dugan, Brian",United,3,3,"Serial rapist active in and around Chicago, Illinois",1983,1985,
783,"Duncan, Joseph Edward",United,5,7,Raped at least 17 young boys and three young girls,1996,2005,
784,"Duncan, Vender",United,3,3,"Burglar who raped and violently beat elderly women in San Francisco, fatally injuring three",1955,1957,
785,"Dunkle, Jon",United,3,3,"Murdered three young boys in California, including his friend's younger brother",1981,1985,
786,"Durousseau, Paul",United,7,7+,"Murdered seven women in the Southeastern United States, included two who were pregnant; German authorities suspect Durousseau may have killed several local women when he was stationed there with the Army during the early 1990s",1997,2003,
787,"Eaton, Dale Wayne",United,2,11+,"Eaton is also suspected of being behind the killings known as ""The Great Basin Murders""","1988, 2001 (known) c. 1983",1996 (suspected),The Great Basin Murders
788,"Edwards, Andrew David",United,4,4,Murdered transients in alcohol-induced rages,1987,1992,
789,"Edwards, Edward",United,5,15,Sentenced to death for shooting his foster son in 1996 insurance murder,1977,1996,
790,"Edwards, Mack Ray",United,3,18,"Pedophile who preyed on children in Los Angeles County, California",1953,1970,
791,"Eichinger, John",United,4,4,Stabbed to death women who rejected his romantic advances,1999,2005,
792,"Eisele, Joseph",United,3,3,"Known as ""The Parkersburg Murderer""; German emigrant who killed fellow emigrants in violent robberies",1867,Unknown,The Parkersburg Murderer
793,"Ellis, Walter E.",United,8,10+,"Known as ""The Milwaukee North Side Strangler""",1986,2007,The Milwaukee North Side Strangler
794,"Engleman, Glennon",United,5,7+,Dentist who worked as a contract killer and plotted with women to kill their husbands so they could share the insurance money,1958,1980,
795,"Erskine, Scott",United,3,3+,Raped and murdered two young boys in California and a woman in Florida,1989,1993,
796,"Ervin, Joe Michael",United,6,6,"Shot and killed a police officer in Denver, Colorado while avoiding a murder warrant in Texas; posthumously linked to four additional murders in the Denver metropolitan area",1969,1981,
797,"Escobar, Ramon",United,7,8,"Beat his uncle, aunt, and several homeless people to death between Texas and California",2018,2023,
798,"Espinosa, Felipe",United,32,32,Murdered various people across the Colorado Territory,1863,Unknown,
799,"Evans, Donald Leroy",United,3,70,Suspected of another dozen murders but recanted his confessions to over 70 more,1985,1991,
800,"Evans, Franklin B.",United,2,5+,"Known as ""The Northwood Murderer""; vagrant who murdered at least two young girls in New Hampshire, and possibly more in Maine and Massachusetts",1850,1872,The Northwood Murderer
801,"Evans, Gary",United,5,5,"Leader of a ring of jewelry and antique thieves who operated in and around Capital District, New York",1985,1997,
802,"Evonitz, Richard",United,3,3+,"Kidnapped, raped and murdered three girls in Spotsylvania County, Virginia and abducted and assaulted a 15-year-old girl in Richland County, South Carolina",1996,1997,
803,"Ewell, John",United,4,4,"Advocate against the ""3 strikes law"" who robbed and murdered middle-aged and elderly people in Los Angeles",2010,Unknown,3 strikes law
804,"Eyler, Larry",United,21,24,"Known as ""The Interstate Killer"" and the ""Highway Killer""; preyed on boys and young men in the Midwest",1982,1984,The Interstate Killer
805,"Falling, Christine",United,6,6,Epileptic who strangled infants because of voices in her head,1980,1982,
806,"Falls, Neal",United,0,10+,Suspected of killing up to 10 women before being killed in self defense,1992,2015,
807,"Fautenberry, John",United,5,6,"Befriended, murdered and robbed people across four states",1990,1991,
808,"Fayne, Lorenzo",United,6,6,Raped and murdered a woman and five children in Wisconsin and Illinois,1989,1993,
809,"Feltner, Jeffrey",United,7,7,"Nurse's aide who smothered patients to ""end their suffering""",1988,1989,end their suffering
810,"Ferguson, John Errol",United,8,12,"Murdered multiple people in the Miami-Dade County, Florida area",1974,1978,
811,"Fernandes, Roberto Wagner",United,3,4+,"Brazilian flight attendant who killed prostitutes in Miami, Florida; suspected in other deaths",2000,2001,
812,"Fernandez, Raymond",United,3,20,"Along with accomplice Martha Beck, became known as ""The Lonely Hearts Killers""",1947,1949,The Lonely Hearts Killers
813,"Figueroa, Danny",United,3,3,"Known as ""The Backwoods Sniper""; Self-styled survivalist who shot three people to death across Southern California",1986,Unknown,The Backwoods Sniper
814,"Fish, Albert",United,3,8+,"Known as ""The Werewolf of Wysteria""; sadist and pedophile who cannibalized several children.",1924,1932,The Werewolf of Wysteria
815,"Fisher, Constance",United,6,6,Paranoid schizophrenic who drowned her six children on two different occasions in Maine,1954,1966,
816,"Fisher, Lavinia",United,0,Numerous,Along with her husband John was a member of a highway gang; allegedly killed travelers visiting her inn,?,1819?,
817,"Fitzsimmons, George",United,4,4,"Known as ""The Karate Chop Killer""; mental patient who killed his parents in New York, then was released and killed his aunt and uncle in Pennsylvania",1969,1973,The Karate Chop Killer
818,"Flowers, Norman",United,3,4,"Raped, beat, and strangled women in their Las Vegas apartments",2004,2005,
819,"Ford, Lester",United,3,3,"Murdered three women and raped two others during a six-month crime spree in Queens, New York",1991,Unknown,
820,"Ford, Wayne Adam",United,4,4+,Killed and mutilated four women in California,1997,1998,
821,"Forte, Linwood",United,3,4,"Known as ""The Nightstalker""; home invader who suffocated elderly residents at their homes in Goldsboro",1990,Unknown,The Nightstalker
822,"Fountain, Clayton Anthony",United,5,5,"Killed his superior officer in the Philippines, then killed inmates and guards in federal prisons",1974,1983,
823,"Francois, Kendall",United,8,10+,"Known as ""The Poughkeepsie Killer""; convicted of the murders of eight women in New York",1996,1998,The Poughkeepsie Killer
824,"Franklin, Joseph Paul",United,11,22,Also attempted to assassinate Larry Flynt and Vernon Jordan,1977,1980,
825,"Franklin Jr., Lonnie David",United,10,25+,"Known as ""The Grim Sleeper""; charged after DNA evidence linked him with ten murders in Los Angeles since 1985",1985,2007,The Grim Sleeper
826,"Frederick, James Anthony",United,3,3,"Killed people during robberies in Lantana, Florida",1991,1992,
827,"Gacy, John Wayne",United,33,33+,"Known as ""The Killer Clown""; preyed on young men and boys in and around Chicago",1972,1978,The Killer Clown
828,"Gallego, Gerald",United,10,10,Accomplice Charlene Gallego released in 1997,1978,1980,
829,"Garcia, Anthony",United,4,4,"Former doctor who killed four people in Omaha, Nebraska as revenge for being fired",2008,2013,
830,"Gardner, Ray Dempsey",United,3,3,"Killed people in North Dakota, Utah, and Montana",1941,1949,
831,"Garduno, Santiago",United,3,4,Killed at least three people in Colorado and New Mexico,1900s,1932,
832,"Gargiulo, Michael",United,3,10,"Known as ""The Hollywood Ripper""; stabbed three women to death",1993,2008,The Hollywood Ripper
833,"Garrison, Wayne Henry",United,3,3,"Murdered three children, two of which as a child himself, in Tulsa, Oklahoma",1972,1989,
834,"Gary, Carlton",United,4,8+,"Known as ""The Stocking Strangler""; raped and murdered elderly women in Columbus, Georgia; also linked to a murder in New York",1970,1978,The Stocking Strangler
835,"Gaskins, Donald Henry",United,9,100+,Convicted of nine murders; claimed to an author to have killed more than 100,1953,1982,
836,"Gay, Randy",United,3,3,"Murdered three people, including his father-in-law and his biological father, during arguments",1978,2011,
837,"Gayles, Clifford",United,3,3,"Killed his girlfriend; paroled and went on a crime spree, resulting in the deaths of two others",1934,1947,
838,"Gaynor, Alfred",United,9,9,"Raped and strangled drug-addicted women in Springfield, Massachusetts",1995,1998,
839,"Gecht, Robin",United,18,18,"Member of the satanic cult and organized crime group known as ""The Ripper Crew"" or ""The Chicago Rippers""",1981,1982,The Ripper Crew
840,"Gein, Ed",United,2,7,"Known as ""The Plainfield Ghoul""; Gein's life and crimes have inspired, at least in part, the novels/films, Psycho, The Silence of the Lambs and The Texas Chain Saw Massacre",1954,1957,The Plainfield Ghoul
841,"Geralds, Hubert",United,5,5,"Known as ""The Englewood Strangler""; Illinois man who sexually assaulted and strangled sex workers",1994,1995,The Englewood Strangler
842,"Getreu, John",United,3,4+,"Raped and murdered a 15-year-old girl on a U.S. Army base in West Germany in 1963 and was released after six years, then returned to the United States and murdered two young women in the early 1970s near Stanford University",1963,1974,
843,"Gibbs, Janie Lou",United,5,5,"Killed her three sons, a grandson, and her husband, by arsenic poisoning",1966,1967,
844,"Gibson, Mose",United,3,7+,Guilt has been questioned,1908,1920,
845,"Gibson, William Clyde",United,3,3+,Sexually assaulted and murdered women across Indiana,2002,2012,
846,"Gifford, Bertha",United,3,17,Missouri serial poisoner; found not guilty by reason of insanity,1900,1928,
847,"Gilbert, Kristen",United,4,4+,"Induced cardiac arrest in patients and would then respond to the coded emergency, often resuscitating the patients herself",1989,1996,
848,"Giles, Bernard",United,5,5,"Abducted, raped and murdered female hitchhikers in orange groves near Titusville, Florida",1973,Unknown,
849,"Gillis, Sean Vincent",United,8,8,"Stalked, kidnapped, raped, murdered, and mutilated Louisiana women",1994,2004,
850,"Gilyard, Lorenzo",United,12,13,"Known as ""The Kansas City Strangler""; targeted mostly sex workers in and around Kansas City, Missouri",1977,1993,The Kansas City Strangler
851,"Glatman, Harvey",United,3,4,"Known as ""The Glamour Girl Slayer"" and ""The Lonely Hearts Killer""; posed as a professional photographer in California to lure his victims with the promise of a modeling career before binding them and sexually assaulting them and photographing then murdering them",1957,1958,The Glamour Girl Slayer
852,"Glaze, Billy",United,3,20+,Guilt has come into question by the discovery of DNA evidence excluding Glaze and implicating another man,1986,1987,
853,"Gleason, Robert Charles",United,3,3+,"Killed two fellow inmates while serving a life sentence for another murder, and vowed to keep killing if he was not was put to death",2007,2010,
854,"Goble, Sean Patrick",United,3,3+,"Known as ""The Interstate Killer""; truck driver who kidnapped and murdered prostitutes along highways",1995,Unknown,The Interstate Killer
855,"Gohl, Billy",United,2,100+,"Union official linked with the disappearances of over 40 sailors in Aberdeen, Washington in the early 20th century",1902,1910,
856,"Gomez, Lloyd",United,9,9,"Known as ""The Phantom Hobo Killer""; murdered nine homeless men across California",1950,1951,The Phantom Hobo Killer
857,"Gordon, Steven Dean",United,4,5,"Sex offender who raped and strangled prostitutes in Santa Ana and Anaheim, California, aided by accomplice Franc Cano",2013,2014,
858,"Gore, David Alan",United,6,6,"One of the pair known as ""The Killing Cousins""; murdered women in Vero Beach and Indian River County, Florida with the aid of his cousin Fred Waterfield",1981,1983,The Killing Cousins
