Name,Born,Died,Cause of death,Nicknames,Motive,Conviction,Criminal Penalty,Criminal Status,Victims,Span of Crimes,Country,State(s),Date Apprehended
Marc Sappington,"Marc Vincent Sappington (1978-02-09) February 9, 1978 (age 46)",Unknown,Unknown,The Kansas City Vampire,Schizophrenia,First degree murder (4 counts)Aggravated robberyAggravated burglaryKidnapping,Unknown,Unknown,Unknown,Unknown,United States,Kansas,Unknown
Peter Woodcock,"Peter Woodcock(1939-03-05)March 5, 1939Peterborough, Ontario, Canada","March 5, 2010(2010-03-05) (aged 71)Penetanguishene, Ontario, Canada",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4,1956 – 19571991,Canada,Unknown,"January 21, 1957"
Léopold Dion,"(1920-02-25)February 25, 1920Quebec, Canada","November 17, 1972(1972-11-17) (aged 52)Archambault Institution, Quebec, Canada",Unknown,Monster of Pont-Rouge,Unknown,Capital murder,Unknown,Unknown,4,April – May 1963,Canada,Unknown,"May 27, 1963"
John Ingvar Lövgren,(1930-10-22)22 October 1930Sweden,"9 February 2002(2002-02-09) (aged 71)Salberga prison, Sweden",Unknown,"""Flickmördaren""John Ingvar Andersson",Unknown,Murder,Unknown,Unknown,4,1958–1963,Sweden,Stockholm,1963
Lam Kor-wan,Lam Kwok-yue (林國裕) (1955-05-22) 22 May 1955 (age 69)British Hong Kong,Unknown,Unknown,The Jars MurdererThe Rainy Night ButcherThe Rainy Night KillerThe Hong Kong Butcher,Unknown,Murder (4 counts),Unknown,Unknown,4,Unknown,Hong Kong,Unknown,17 August 1982
Jürgen Bartsch,"Karl-Heinz Sadrozinski(1946-11-06)November 6, 1946Essen, Allied-occupied Germany","April 28, 1976(1976-04-28) (aged 29)Eickelborn, West Germany",Unknown,The Carnival Killer (Der Kirmesmörder),Sexual sadism,Murder,Unknown,Unknown,4,31 March 1962 – 6 May 1966,West Germany,North Rhine-Westphalia,1966
Wayne Boden,"Wayne Clifford Bodenc. 1948Dundas, Ontario, Canada","27 March 2006(2006-03-27) (aged 57–58)Kingston General Hospital, Ontario, Canada",Unknown,The Vampire RapistStrangler Bill,Unknown,Non-capital murder (4 counts),Unknown,Unknown,4,Unknown,Unknown,Unknown,19 May 1971
Ion Rîmaru,"Ion Rîmaru(1946-10-12)October 12, 1946Corabia, Olt County, Kingdom of Romania","October 23, 1971(1971-10-23) (aged 25)Jilava Prison, Ilfov County, Socialist Republic of Romania",Unknown,The Vampire of BucharestThe Wolf-Man,Unknown,Aggravated murder (4 counts),Unknown,Unknown,4,8 April 1970 – 4 May 1971,Romania,Unknown,27 May 1971
David Meirhofer,"David Gail Meirhofer(1949-06-08)June 8, 1949Bozeman, Montana, U.S.","September 29, 1974(1974-09-29) (aged 25)Gallatin County Jail, Bozeman, Montana, U.S.",Unknown,"""Mr. Travis""",Unknown,Unknown,Unknown,Unknown,4,1967–1974,United States,Montana,"September 25, 1974"
Donald Neilson,"Donald Nappey(1936-08-01)1 August 1936Bradford, West Riding of Yorkshire, England[1]","18 December 2011(2011-12-18) (aged 75)[2]Norwich, Norfolk, England[2]",Unknown,The Black Panther,Unknown,Unknown,Unknown,Unknown,Unknown,1971–1975,England,Unknown,11 December 1975
Thor Nis Christiansen,"Thor Nis Christiansen(1957-12-28)December 28, 1957Denmark","March 30, 1981(1981-03-30) (aged 23)Folsom State Prison, Folsom, California, U.S.",Unknown,The Hitchhiker SlayerThe Look-Alike Murderer,Unknown,Unknown,Unknown,Unknown,4,"November 20, 1976 – April 18, 1979",United States,California,"July 11, 1979"
Michael Lupo,"Michael del Marco Lupo(1953-01-19)19 January 1953Genzano di Lucania, Province of Potenza, Italy","12 February 1995(1995-02-12) (aged 42)Frankland Prison, Brasside, England",Unknown,The Wolf Man,Unknown,4 counts of murder2 counts of attempted murder,Unknown,Unknown,4,Unknown,England,Brompton Road,18 May 1986
Peter Lundin,"Peter Kenneth Bostrøm Lundin (1972-02-15) February 15, 1972 (age 52)Roskilde, Denmark",Unknown,Unknown,Niels SchaftnerBjarne SkounborgThomas Kristian Olesen,Unknown,Murder,Unknown,Unknown,4,1991–2000,"United States, Denmark","North Carolina, Copenhagen","July 5, 2000"
James Swann,"James Edward Swann, Jr.1964 (age 59–60)Iselin, New Jersey, U.S.",Unknown,Unknown,Unknown,Mental illness,Unknown,Unknown,Unknown,Unknown,Unknown,United States,Unknown,Unknown
Steven Grieveson,"Steven John Grieveson (1970-12-14) 14 December 1970 (age 53)Sunderland, County Durham, England",Unknown,Unknown,The Sunderland strangler,Unknown,Murder,Unknown,Unknown,4+,26 May 1990 – 25 February 1994,England,Unknown,11 March 1994
Frank Gust,"(1969-05-24) 24 May 1969 (age 55)Oberhausen, West Germany",Unknown,Unknown,The Rhein-Ruhr Ripper,Unknown,Murder,Unknown,Unknown,4,1994–1998,Germany,Rhine-Ruhr,1999
Alexander Tchayka,"Alexander Tchayka (1974-07-23) 23 July 1974 (age 50)Sumy, Ukraine SSR, Soviet Union",Unknown,Unknown,The Fur Coat Hunter,Unknown,Unknown,Unknown,Unknown,4,"January 31, 1994 – February 12, 1994",Russia,Unknown,Unknown
Peter Moore,"Peter Howard Moore (1946-09-19) 19 September 1946 (age 78)St Helens, Lancashire, England",Unknown,Unknown,The Man In Black,Unknown,Unknown,Unknown,Unknown,4,September – December 1995,United Kingdom,Unknown,Unknown
Hiroaki Hidaka,"17 April 1962Miyazaki, Japan","25 December 2006(2006-12-25) (aged 44)Hiroshima, Japan",Unknown,Unknown,Unknown,Murder (4 counts),Unknown,Unknown,4,"April 18 – September 14, 1996",Japan,Hiroshima,"September 21, 1996"
Nicolai Bonner,1972 (age 51–52)Moldavian SSR,Unknown,Unknown,"""The Haifa Homeless Killer""",Unknown,Murder x4,Unknown,Unknown,4,"February 9 – May 1, 2005",Israel,Haifa,"May 29, 2005"
Raúl Osiel Marroquín,"Raúl Osiel Marroquín Reyes (1980-09-01) September 1, 1980 (age 44)Tampico, Tamaulipas, Mexico",Unknown,Unknown,"""El Sádico""[1] and ""El Asesino del Arcoiris""",Unknown,Murder and Hate Crime,Unknown,Unknown,4,September – December 2005,Mexico,Unknown,"January 23, 2006"
Richard Kuklinski,"Richard Leonard Kuklinski(1935-04-11)April 11, 1935Jersey City, New Jersey, U.S.","March 5, 2006(2006-03-05) (aged 70)Trenton, New Jersey, U.S.",Unknown,The IcemanBig Rich[1]Big Richie,Unknown,Murder (5 counts),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"December 17, 1986"
Harvey Miguel Robinson,"(1974-12-06) December 6, 1974 (age 49)Allentown, Pennsylvania, U.S.",Unknown,Unknown,Unknown,Unknown,First degree murder (3 counts)Attempted murderBurglary,Unknown,Unknown,3,1992–1993,United States,Unknown,"December 6, 1993"
Albert Fish,"Hamilton Howard Fish[1](1870-05-19)May 19, 1870Washington, D.C., U.S.","January 16, 1936(1936-01-16) (aged 65)Sing Sing Prison, Ossining, New York, U.S.",Unknown,Frank HowardThomas A. SpragueRobert HaydenJohn W. Pell,Sexual sadismpedophiliacannibalism,First degree murderGrand larceny,Unknown,Unknown,3+,1924–1932,United States,New York,"December 13, 1934"
Robert Ben Rhoades,"(1945-11-22) November 22, 1945 (age 79)Council Bluffs, Iowa, U.S.",Unknown,Unknown,The Truck Stop Killer,Unknown,First-degree murder (2 counts)[a],Unknown,Unknown,4–50+,1975–1990,United States,Texas and Illinois,"April 1, 1990"
Peter Tobin,"Peter Britton Tobin(1946-08-27)27 August 1946Johnstone, Renfrewshire, Scotland","8 October 2022(2022-10-08) (aged 76)Edinburgh, Scotland",Unknown,"Up to 40 aliases,[1] including:Peter WilsonJames KellyPaul SempleJohn TobinPeter ProbanPat McLaughlin[2]",Unknown,"Burglary, forgery, murder, rape",Unknown,Unknown,3+,10 February 1991  –  26 September 2006,Unknown,Unknown,Unknown
Pedro Padilla Flores,Ramiro Adame López1970s,Unknown,Unknown,The Rio Bravo AssassinMany other aliases,Unknown,Murder,Unknown,Unknown,3–30,1986–,Mexico,Ciudad Juárez,Unknown
Stephen Morin,"Stephen Peter MorinFebruary 19, 1951Providence, Rhode Island, U.S.","March 13, 1985(1985-03-13) (aged 34)Huntsville Unit, Huntsville, Texas, U.S.",Unknown,Rich ClarkRich Clarke Robert Fred GenerosoThomas David HonesRay Constantino(or Constantine),Unknown,TexasCapital murder (2 counts)ColoradoFirst degree murderSecond degree kidnapping,Unknown,Unknown,4–48,"November, 1969 – December 11, 1981",United States,"Nevada, Colorado, Texas (others suspected)","December 12, 1981"
Dorothea Puente,"Dorothea Helen Gray(1929-01-09)January 9, 1929Redlands, California, U.S.","March 27, 2011(2011-03-27) (aged 82)Central California Women's Facility, Chowchilla, California, U.S.",Unknown,"""Death House Landlady""  Teya Singoalla Neyaarda  Sharon Johansson",Unknown,First-degree murder with special circumstances (2 counts)Second-degree murder,Unknown,Unknown,9 (convicted of 3),1948–1988,United States,California,"November 11, 1988"
Billy Glaze,"Billy Richard Glaze(1943-07-13)July 13, 1943[1]Georgia, U.S.","December 22, 2015(2015-12-22) (aged 72) Smyrna, Delaware, U.S.",Unknown,Jesse CoulterJesse Sitting CrowButcher Knife Billy,Unknown,RapeMurder,Unknown,Unknown,3–20+,Unknown,Unknown,Minnesota,"August 31, 1987"
Sidney Cooke,"Sidney Charles Cooke (1927-04-18) 18 April 1927 (age 97)Stroud, Gloucestershire, England",Unknown,Unknown,Hissing Sid,Pedophilia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bertha Gifford,"Bertha Alice Williams30 October 1871Morse Mill, Missouri, U.S.","August 20, 1951 (aged 79)Missouri State Hospital, #4, Missouri, U.S.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3–17,1900s–1928,United States,Missouri,1928
Bernhard Prigan,1920Germany,Unknown,Unknown,"""The Strangler""""The Highway Killer""",Unknown,Murder,Unknown,Unknown,3–16,1947–1952,"Allied-occupied Germany, West Germany",Unknown,7 November 1952
Ronald Janssen,"Ronald Alain Janssen (1971-02-06) February 6, 1971 (age 53)Boorsem, Limburg Province, Belgium",Unknown,Unknown,"""Le Prof""",Unknown,"Murder
Kidnapping

Rape",Unknown,Unknown,3+,2007–2010,Belgium,Unknown,Unknown
Patrick Mackay,"Patrick David Mackay (1952-09-25) 25 September 1952 (age 72)Middlesex, England[4]",Unknown,Unknown,David Groves[1]The Psychopath[2]The Devil's Disciple[3],Unknown,Manslaughter (1975),Unknown,Unknown,3–11,February 1974 – March 1975,United Kingdom,Unknown,March 1975
Koos Hertogs,"Jacobus Dirk Hertogs16 December 1949The Hague, Netherlands","19 July 2015(2015-07-19) (aged 65)S-Hertogenbosch, Netherlands",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3,1979–1980,Netherlands,Unknown,3 October 1980
Michael Gargiulo,"Michael Thomas Gargiulo (1976-02-15) February 15, 1976 (age 48)[1]Glenview, Illinois, U.S.",Unknown,Unknown,Hollywood RipperChiller KillerThe Boy Next Door Killer,Unknown,"First degree murder with special circumstances (2 counts), attempted murder",Unknown,Unknown,3–10; 1 survived,1993–2008,United States,"Illinois, California","June 6, 2008"
Chisako Kakehi,"Chisako Kakehi (1946-11-28) 28 November 1946 (age 77)Yahata, Fukuoka，Occupied Japan",Unknown,Unknown,Unknown,Unknown,Aggravated murder (3 counts)Attempted murder,Unknown,Unknown,3–10,2007–2013,Japan,Unknown,2014
Heriberto Seda,"(1967-07-31) July 31, 1967 (age 57)New York City, New York, U.S.",Unknown,Unknown,The Brooklyn SniperThe Copycat Zodiac KillerFaustThe New York Zodiac Killer,Unknown,Attempted murderMurder,Unknown,Unknown,"9 (3 dead, 6 critically wounded)","March 8, 1990 – October 2, 1993",United States,New York,"June 18, 1996"
Anthony Hardy,"Anthony John Hardy31 May 1951Burton upon Trent, Staffordshire, England","25 November 2020(2020-11-25) (aged 69)[1]HM Prison Frankland, County Durham, England",Unknown,Camden Ripper,Unknown,Murder,Unknown,Unknown,3–8+,December 2000 – December 2002,United Kingdom,Unknown,2 January 2003
Michael Lee Lockhart,"September 30, 1960Walbridge, Ohio, U.S.","December 9, 1997(1997-12-09) (aged 37)Huntsville Unit, Huntsville, Texas, U.S.",Unknown,Unknown,Unknown,TexasCapital murderIndianaMurderFloridaFirst degree murder,Unknown,Unknown,3,1987–1988,United States,"Indiana, Texas, Florida","March 22, 1988"
Peter Dupas,"Peter Norris Dupas (1953-07-06) July 6, 1953 (age 71)Sydney, New South Wales, Australia",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3–6,1985; 1997 – 1999,Australia,Victoria,22 April 1999
Stephen Griffiths,"Stephen Shaun Griffiths (1969-12-24) 24 December 1969 (age 54)Dewsbury, West Riding of Yorkshire, England",Unknown,Unknown,Stephen Griffiths,Unknown,Murder,Unknown,Unknown,3+,22 June 2009 – 21 May 2010,England,Unknown,24 May 2010
Levi Bellfield,"Levi Rabbetts (1968-05-17) 17 May 1968 (age 56)Isleworth, London, England",Unknown,Unknown,Yusuf Rahim[1]The Bus Stop StalkerThe Bus Stop Killer The Hammer Man,Unknown,Unknown,Unknown,Unknown,3+,21 March 2002 – 19 August 2004,Unknown,Unknown,22 November 2004
Hans van Zon,"Johannes Marinus van Zon(1942-04-20)20 April 1942Utrecht, Utrecht, Netherlands","11 May 1998(1998-05-11) (aged 57)Delfzijl, Groningen, Netherlands",Unknown,Unknown,Unknown,Murder,Unknown,Unknown,3+,April – August 1967,Netherlands,Utrecht,13 December 1970
Judy Buenoano,"Judias Anna Lou Welty(1943-04-04)April 4, 1943Quanah, Texas, U.S.","March 30, 1998(1998-03-30) (aged 54)Florida State Prison, Florida, U.S.",Unknown,"Judias Goodyear, Judy Morris, Judias Buenoano, Judy Goodyear, Judias Morris",Life insurance money,First degree murder (2 counts)Attempted second degree murderGrand theft,Unknown,Unknown,3,1971–1983,United States,Florida and Colorado,"January 11, 1984"
Martin Ney,"(1970-12-12) 12 December 1970 (age 53)Bremen, West Germany (today Germany)",Unknown,Unknown,The Masked ManThe Black Man The Hooded Man,Unknown,Unknown,Unknown,Unknown,3–4,1992–2004,"Germany, possibly France",Unknown,15 April 2011
Paul Denyer,"Paul Charles Denyer (1972-04-14) 14 April 1972 (age 52)Campbelltown, Sydney, New South Wales, Australia",Unknown,Unknown,"The Frankston Serial Killer, Paula",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia,Victoria,31 July 1993 (1993-07-31)
Bandali Debs,"(1953-07-18) 18 July 1953 (age 71)Narre Warren, Victoria, Australia",Unknown,Unknown,Unknown,Unknown,"Murder x4,[1] armed robbery",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Gordon Northcott,"(1906-11-09)November 9, 1906Bladworth, Saskatchewan, Canada","October 2, 1930 (aged 23)San Quentin State Prison, San Quentin, California, U.S.",Unknown,Unknown,Unknown,First degree murder (3 counts),Unknown,Unknown,3–20,1926–1928,Unknown,California,"September 19, 1928"
Peter Kudzinowski,"(1903-08-13)August 13, 1903Dickson City, Pennsylvania, U.S.","December 21, 1929(1929-12-21) (aged 26)Trenton State Prison, Trenton, New Jersey, U.S.",Unknown,Ray RogersRoy Lambert,Unknown,First degree murder,Unknown,Unknown,3-4+,"March 8, 1924 (1924-03-08) – November 17, 1928 (1928-11-17)",United States,New JerseyNew York (state),"December 3, 1928"
Harvey Glatman,"Harvey Murray GlatmanDecember 10, 1927The Bronx, New York City, New York, U.S.","September 18, 1959(1959-09-18) (aged 31)San Quentin State Prison, California, U.S.",Unknown,The Lonely Hearts Killer  The Glamour Girl SlayerJohnny GlinnFrank WilsonGeorge Williams,Unknown,First degree murderKidnappingRobbery,Unknown,Unknown,3–4,"August 1, 1957 – July 12, 1958",United States,"California, possibly Colorado","October 31, 1958"
Martha Ann Johnson,"1955 (age 68–69)Georgia, U.S.",Unknown,Unknown,Martha Ann Bowen,Unknown,Murder,Unknown,Unknown,1–4,1977–1982,United States,Georgia,"July 3, 1989"
Vlado Taneski,"Vlado Taneski1952Kičevo, SFR Yugoslavia","June 23, 2008 (aged 56)Tetovo, Republic of Macedonia",Unknown,The Kičevo Monster,Unknown,Unknown,Unknown,Unknown,3–4,2005–2008,Macedonia,Unknown,"June 22, 2008"
Khalil Wheeler-Weaver,"(1996-04-20) April 20, 1996 (age 28)Orange, New Jersey, U.S.",Unknown,Unknown,Unknown,Unknown,Murder (3 counts)Attempted murderAggravated sexual assault (2 counts)Aggravated arsonKidnappingDesecrating human remains (3 counts),Unknown,Unknown,3–4,August – November 2016,United States,New Jersey,Unknown
William Henry Hance,"(1951-11-10)November 10, 1951United States","March 31, 1994(1994-03-31) (aged 42)Georgia Diagnostic and Classification State Prison, Jackson, Georgia, U.S.",Unknown,Chairman of the Forces of Evil,Unknown,"Murder (December 16, 1978)",Unknown,Unknown,"3 confirmed, 4+ suspected",1977–1978,United States,Georgia and Indiana,"April 4, 1978"
Charlie Chop-off,Unknown,Unknown,Unknown,The Mad BarberThe Pied Piper of Manhattan,Unknown,Never convicted,Unknown,Unknown,4 (+1 survived),"March 9, 1972 – August 17, 1973",United States,New York,Unapprehended
François Vérove,"22 January 1962Gravelines, Nord, France","29 September 2021 (aged 59)[1]Le Grau-du-Roi, Gard, France",Unknown,Le Grêlé,Unknown,Unknown,Unknown,Unknown,3–9+,5 May 1986 – 29 June 1994,France,Unknown,Unknown
Louise Peete,"Lofie Louise Preslar(1880-09-20)September 20, 1880Bienville, Louisiana, U.S.","April 11, 1947(1947-04-11) (aged 66)San Quentin State Prison, San Quentin, California, U.S.",Unknown,Louise M. GouldAnna Lee,Financial gain,"First degree murder(Jacob C. Denton murder)
First degree murder(Margaret Logan murder)",Unknown,Unknown,3+ (including one which was ruled self-defense),Unknown,United States,California and Texas,"December 20, 1944(Logan murder)"
Westley Allan Dodd,"(1961-07-03)July 3, 1961Toppenish, Washington, U.S.","January 5, 1993(1993-01-05) (aged 31)Washington State Penitentiary, Walla Walla, Washington, U.S.",Unknown,"The Vancouver Child Killer, Shellie ""Lee"" Brooks",Unknown,Aggravated first degree murder (3 counts)Attempted first degree murderFirst degree kidnappingChild molestation (175+ counts),Unknown,Unknown,3,"September 4 – November 13, 1989",United States,Washington,"November 13, 1989"
Scott Erskine,"Scott Thomas Erskine(1962-12-22)December 22, 1962San Diego, California, U.S.","July 3, 2020 (aged 57)San Quentin, California, U.S.",Unknown,Unknown,Unknown,CaliforniaFirst degree murder with special circumstances (2 counts)KidnappingRapeForced oral copulation with a firearm (3 counts)Penetration with a foreign objectPossession of a firearm by a convicted felonFloridaSecond degree murder,Unknown,Unknown,3+,"1972 – March 27, 1993",United States,Florida and California,1993
Donald Leroy Evans,"Donald Leroy EvansJuly 5, 1957Watervliet, Michigan, U.S.","January 5, 1999 (aged 41)Mississippi State Penitentiary, Sunflower County, Mississippi, U.S.",Unknown,"Don, Donny",Unknown,FederalKidnapping (18 U.S.C. § 1201)MississippiCapital murderSexual battery (2 counts)FloridaFirst degree murderAggravated battery,Unknown,Unknown,3–70+,1985–1991,United States,"Florida, Mississippi, and possibly other states","August 5, 1991"
John Martin,"(1959-12-09)9 December 1959Letchworth, Hertfordshire, England","19 April 1996(1996-04-19) (aged 36)Changi Prison, Singapore",Unknown,Simon James DavisThe Garden City Butcher,Unknown,Murder,Unknown,Unknown,3–6 (3 confirmed; 3 unconfirmed),Unknown,Unknown,Unknown,Unknown
Richard Evonitz,"Richard Marc Edward Evonitz(1963-07-29)July 29, 1963[1]Columbia, South Carolina, U.S.","June 27, 2002(2002-06-27) (aged 38)Sarasota, Florida, U.S.",Unknown,Unknown,Unknown,Lewd exposure (1987),Unknown,Unknown,3–6+,1987–2002,United States,VirginiaOthers possible,Unknown
